State,District,Origin of Challenge,Date of Challenge/Removal,Type of Ban,Author,Title,Secondary Author(s),Latitude,Longitude
Florida,Brevard Public Schools,Administrator,2022-05-01,Banned Pending Investigation,"Kepnes, Caroline",You: A Novel of Dark Obsession (You Series),,27.994402,-81.760254
Florida,Broward County Public Schools,Administrator,2022-06-01,Banned in Libraries and Classrooms,"Schiffer, Miriam B.",Stella Brings the Family,,27.994402,-81.760254
Florida,Broward County Public Schools,Administrator,2022-06-01,Banned in Libraries and Classrooms,"Polacco, Patricia",In Our Mothers' House,,27.994402,-81.760254
Florida,Broward County Public Schools,Administrator,2022-06-01,Banned in Libraries and Classrooms,"Kilodavis, Cheryl",My Princess Boy,,27.994402,-81.760254
Florida,Broward County Public Schools,Administrator,2022-06-01,Banned in Libraries and Classrooms,"Fierstein, Harvey",The Sissy Duckling,,27.994402,-81.760254
Florida,Broward County Public Schools,Administrator,2022-06-01,Banned in Libraries and Classrooms,"Richardson, Justin",And Tango Makes Three,"Parnell, Peter",27.994402,-81.760254
Florida,Clay County District Schools,Administrator,2022-06-01,Banned Pending Investigation,"Sebold, Alice",Lucky,,27.994402,-81.760254
Florida,Clay County District Schools,Administrator,2021-12-01,Banned in Libraries and Classrooms,"Johnson, George M.",All Boys Aren't Blue,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Sorell, Traci",At the Mountain's Base,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Cline-Ransome, Lesa",Before She Was Harriet,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Rockliff, Mara",Chik Chak Shabbat,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Garcia, Isabella",Cow on the Town: Practicing the Ow Sound,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Morales, Yuyi",Dreamers,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Rattigan, Jama Kim",Dumpling Soup,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Noble Maillard, Kevin",Fry Bread: A Native American Family Story,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Lumbard, Rabiah York",The Gift of Ramadan,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Tompert, Ann",Grandfather Tang's Story,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Ho, Minfong",Hush! A Thai Lullaby,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Díaz, Junot",Islandborn,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Morales, Yuyi",Little Night/Nochecita,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Velásquez, Eric",Looking for Bongo,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Kuntz, Doug",Lost and Found Cat : The True Story of Kunkush's Incredible Journey,"Shrodes, Amy",27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Mora, Pat",Love to Mama: A Tribute To Mothers,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Meddour, Wendy",Lubna and Pebble,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Joosten, Michael",My Two Dads and Me,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Joosten, Michael",My Two Moms and Me,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Anderson, Airlie",Neither,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Jules, Jacqueline",Never Say a Mean Word Again: A Tale from Medieval Spain,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Park, Linda Sue",Nya's Long Walk: A Step at a Time,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Scott, Ann Herbert",On Mother's Lap,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Bunting, Eve",One Green Apple,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Martin, Rafe",The Rough-Face Girl,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Lauture, Denize",Running the Road to ABC,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Nyong'o, Lupita",Sulwe,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Mitchell, Margaree King",Uncle Jed's Barber Shop,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Wells, Rosemary",Yoko (Yoko Series),,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Muth, Jon J.",Zen Shorts (Zen Series),,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Ewert, Marcus","10,000 Dresses",,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Deedy, Carmen Agra",14 Cows for America,"Naiyomah, Wilson Kimeli",27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Dorros, Arthur",Abuela,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Gonzalez, Xelena",All Around Us,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Martinez-Neal, Juana",Alma and How She Got Her Name,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Kahn, Hena",Amina's Voice (Amina's Voice Series),,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"MacGill-Callahan, Sheila",And Still the Turtle Watched,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Johnston, Tony",Any Small Goodness: A Novel of the Barrio,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Dooley, Sarah",Ashes to Asheville,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Moss, Marissa",Barbed Wire Baseball: How One Man Brought Hope to the Japanese Internment Camps of WWII,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Berenstain, Jan",The Berenstain Bears and the Big Question (The Berenstain Bears Series),"Berenstain, Stan",27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Peck, Richard",The Best Man,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Perkins, Mitali",Between Us and Abuela: A Family Story from the Border,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Khan, Rukhsana",Big Red Lollipop,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Schlissel, Lillian",Black Frontiers: A History of African American Heroes in the Old West,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Snyder, Dianne",The Boy of the Three-Year Nap,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Uchida,Yoshiko",The Bracelet,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,Chief Seattle,"Brother Eagle, Sister Sky",,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Hopkinson, Deborah",Carter Reads the Newspaper,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Daemicke, Songju Ma",A Case of Sense,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Cavell-Clarke, Steffi",Celebrating Different Beliefs,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Chambers, Veronica","Celia Cruz, Queen of Salsa",,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Slade, Suzanne",Climbing Lincoln's Steps: The African American Journey,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Joseph, Lynn",The Color of My Words,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,Yin,Coolies,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Bruchac, Joseph",Crazy Horse's Vision,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Uhlberg, Myron","Dad, Jackie, and Me",,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Newman, Lesléa","Daddy, Papa, and Me",,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Larson, Kirby",Dash (Dogs of World War II Series),,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Heide, Florence Parry",The Day of Ahmed's Secret,"Gilliland, Judith Heide",27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Johnston, Tony",Day of the Dead,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Bunting, Eve",A Day's Work,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Pak, Soyung",Dear Juno,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Lin, Grace",Dim Sum for Everyone!,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Engle, Margarita",A Dog Named Haku: A Holiday Story from Nepal,"Karanjit, Amish; Karanjit, Nicole",27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Fritz, Jean",The Double Life of Pocahontas,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Cosson, M. J.",A Dream Come True: Coming to America from Vietnam-1975,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Monjo, F.N.",The Drinking Gourd: A Story of the Underground Railroad,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Engle, Margarita",Drum Dream Girl: How One Girl's Courage Changed Music,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Bulla, Clyde Robert",Eagle Feather,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Bruchac, Joseph",Eagle Song,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Millner, Denene",Early Sunday Morning,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Luby, Brittany",Encounter,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Clements, Andrew",Extra Credit,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"O'Leary, Sara",A Family Is a Family Is a Family,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Jordan-Fenton, Christy",Fatty Legs: A True Story,"Pokiak-Fenton, Margaret",27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Sehgal, Surishtha",Festival of Colors,"Sehgal, Kabir",27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Bruchac, Joseph",The First Strawberries,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Nye, Naomi Shihab",The Flag of Childhood: Poems From the Middle East,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Lorenzi, Natalie Dias",Flying the Dragon,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Williams, Karen Lynn","Four Feet, Two Sandals","Mohammed, Khadra",27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Cervantes, Angela","Gaby, Lost and Found",,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Zia, Farhana",The Garden of My Imaan,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Lyons, Kelly Starling",Going Down Home with Daddy,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Marsden, Carolyn",The Gold-Threaded Dress,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Polonsky, Ami",Gracefully Grayson,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Birtha, Becky",Grandmama's Pride,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Greenfield, Eloise",The Great Migration: Journey to the North,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Turner, Pamela S.",Hachiko: The True Story of a Loyal Dog,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Lord, Cynthia",A Handful of Stars,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Tavares, Matt",Henry Aaron's Dream,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Robinson, Sharon",The Hero Two Doors Down: Based on the True Story of Friendship between a Boy and a Baseball Legend,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Robertson, Robbie",Hiawatha and the Peacemaker,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Jennings, Jazz",I am Jazz,"Herthel, Jessica",27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"King, Dedie",I See the Sun in Afghanistan,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Polacco, Patricia",In Our Mothers' House,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"McManis, Charlene Willing",Indian No More,"Sorell, Traci",27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Dumas, Firoozeh","It Ain't So Awful, Falafel",,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Maclear, Kyo",It Began with a Page: How Gyo Fujikawa Drew the Way,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Blake, Ashley Herring",Ivy Aberdeen's Letter to the World,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Florence, Debbi Michiko","Jasmine Toguchi, Flamingo Keeper (Jasmine Toguchi Series)",,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Medina, Juana",Juana & Lucas (Juana and Lucas Series),,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Love, Jessica",Julián Is a Mermaid (Julián Series),,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Martin Jr., Bill",Knots on a Counting Rope,"Archambault, John",27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Faruqi, Reem",Lailah's Lunchbox: A Ramadan Story,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"dePaola, Tomie",The Legend of the Bluebonnet (Legends Series),,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Connors, Kathleen",The Life of Rosa Parks (Famous Lives Series),,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Laird, Elizabeth",A Little Piece of Ground,"Nimr, Sonia",27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Lorenzi, Natalie Dias",A Long Pitch Home,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Rosenblatt, Darcey",Lost Boys,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Behar, Ruth",Lucky Broken Girl,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Grimes, Nikki",Make Way for Dyamonde Daniel (Dyamonde Daniel Series),,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Corey, Shana",Malala: A Hero for All (Step into Reading Series),,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Brown, Monica",Marisol McDonald Doesn't Match (Marisol McDonald Series),,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Duncan, Alice Faye","Memphis, Martin, and the Mountaintop: The Sanitation Strike of 1968",,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Curtis, Christopher Paul",The Mighty Miss Malone,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Levy, Dana Alison",The Misadventures of the Family Fletcher (Family Fletcher Series),,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,WGBH Kids,Molly of Denali: Berry Itchy Day,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Salazar, Aida",The Moon Within,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Bildner, Phil",Most Valuable Players (Rip and Red Series),,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Cohen, Caron Lee",The Mud Pony,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Rao, Sandhya",My Mother's Sari,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Ada, Alma Flor",My Name Is María Isabel,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Woods, Brenda",My Name Is Sally Little Song,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"English, Karen",Nadia's Hands,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Choi, Yangsook",The Name Jar,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Hiranandani, Veera",The Night Diary,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Morales, Yuyi",Niño Wrestles the World (Niño Series),,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Warga, Jasmine",Other Words for Home,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Pearlman, Robb",Pink Is for Boys,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Rickards, Lynne",Pink!,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Tonatiuh, Duncan",The Princess and the Warrior: A Tale of Two Volcanoes,,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Muhammad, Ibtihaj",Proud: Living My American Dream (Young Readers Edition),,27.994402,-81.760254
Florida,Duval County Public Schools,Administrator,2022-01-01,Banned Pending Investigation,"Steptoe, Javaka",Radiant Child: The Story of Young Artist Jean-Michel Basquiat,,27.994402,-81.760254
